"スキル項目コード","スキル項目識別子","知識項目コード","知識項目識別子","知識項目"
"S110010020","2","K020","70","ポジショニング"
"S110010020","2","K021","71","リスクマネジメント"
"S110010020","2","K022","72","リスク分析手法"
"S110010020","2","K023","73","仮説構築法"
"S110010020","2","K024","74","企業競争力の分析手法"
"S110010020","2","K025","75","競合分析"
"S110010020","2","K026","76","業務分析手法"
"S110010020","2","K027","77","構造化手法"
"S110010020","2","K028","78","差異分析手法"
"S110010020","2","K029","79","成果の定量評価に関する知識"
"S110010020","2","K030","80","戦略マネジメントに関する知識"
"S110010020","2","K031","81","戦略目標"
"S110010020","2","K032","82","当該分野のソリューション市場に関する知識"
"S110010030","3","K001","83","インダストリビジネス動向、技術動向、競合状況の把握"
"S110010030","3","K002","84","インダストリ固有業務内容の把握と活用"
"S110010030","3","K003","85","インダストリ別ビジネス慣行の把握と活用"
"S110010030","3","K004","86","インダストリ別事業環境の把握と活用"
"S110010030","3","K005","87","インダストリ用語、関連法規の把握と活用"
"S110010030","3","K006","88","業界環境と関連規制の把握"
"S110010030","3","K007","89","業界固有ニーズ/ウォンツの把握と活用"
"S110010030","3","K008","90","業界動向の把握と活用"
"S110010030","3","K009","91","業界内競合他社情報の把握"
"S110010030","3","K010","92","業界標準、業界基準、通達"
"S110010030","3","K011","93","最新業界動向の把握"
"S110010030","3","K012","94","市場分析結果の把握と活用"
"S110010030","3","K013","95","新規参入者の把握"
"S110010040","4","K001","96","CRM"
"S110010040","4","K002","97","ERP"
"S110010040","4","K003","98","SaaS"
"S110010040","4","K004","99","SCM（Supply Chain Management）"
"S110010040","4","K005","100","SFA（Sales Force Automation）"
"S110010040","4","K006","101","SOA（Service Oriented Architecture）"
"S110010040","4","K007","102","ナレッジマネジメント"
"S110010040","4","K008","103","意思決定支援"
"S110010040","4","K009","104","企業内情報ポータル（EIP）"
"S110010050","5","K001","105","3Cモデル"
"S110010050","5","K002","106","3C分析"
"S110010050","5","K003","107","5Forces"
"S110010050","5","K004","108","6W1H"
"S110010050","5","K005","109","7S"
"S110010050","5","K006","110","CSF（Critical Success Factors）"
"S110010050","5","K007","10257","Hype-Cycle（ハイプ・サイクル法）"
"S110010050","5","K008","111","M&A"
"S110010050","5","K009","112","PDCAサイクル（経営戦略立案）"
"S110010050","5","K010","113","PDCAサイクル（経営分析）"
"S110010050","5","K011","10258","PESTLE分析（政治、経済、社会、技術、法規制、環境）"
"S110010050","5","K012","10259","PEST分析（政治、経済、社会、技術）"
"S110010050","5","K013","114","PPM"
"S110010050","5","K014","9543","SWOT分析"
"S110010050","5","K015","115","アウトソーシング"
"S110010050","5","K016","116","アライアンス"
"S110010050","5","K017","117","インキュベーター"
"S110010050","5","K018","118","エンジニアリングシステム分野とビジネスシステム分野における情報システムの活用"
"S110010050","5","K019","119","グループ経営"
"S110010050","5","K020","120","コアコンピタンス"
"S110010050","5","K021","121","シェアードサービス"
"S110010050","5","K022","10260","ディスカウントキャッシュフロー（DCF）法"
"S110010050","5","K023","122","バランススコアカード"
"S110010050","5","K024","123","バリューチェーン分析手法"
"S110010050","5","K025","124","ブルーオーシャン戦略"
"S110010050","5","K026","10261","ミクロ&マクロ経済学"
"S110010050","5","K027","125","関連法規の理解と遵守"
"S110010050","5","K028","126","企業会計"
"S110010050","5","K029","127","企業理念"
"S110010050","5","K030","128","競合分析手法"
"S110010050","5","K031","129","競争戦略"
"S110010050","5","K032","130","経営管理"
"S110010050","5","K033","131","経営工学"
"S110010050","5","K034","132","経営戦略の基礎（経営戦略の理論や手法）"
"S110010050","5","K035","133","経営戦略の基礎（顧客の要求・要望）"
"S110010050","5","K036","134","経営組織（事業部制、カンパニ制、CIO、CEOほか）"
"S110010050","5","K037","135","差別化戦略"
"S110010050","5","K038","10262","資材所要量計画（MRP）"
"S110010050","5","K039","136","情報システム評価手法"
"S110010050","5","K040","137","情報戦略"
"S110010050","5","K041","138","成長マトリクス"
"S110010050","5","K042","10263","製品ライフサイクル"
"S110010050","5","K043","139","連関図手法/ロジックツリー"
"S110010060","6","K001","140","アプリケーションに関わる技術動向の把握"
"S110010060","6","K002","141","インダストリアプリケーション設計の実践"
"S110010060","6","K003","142","インダストリ共通アプリケーションに関する知識の活用"
"S110010060","6","K004","143","インダストリ固有アプリケーションに関する知識の活用"
"S110010060","6","K005","144","ビジネス特許に関わる技術動向の把握"
"S110010060","6","K006","145","業務別アプリケーション設計の実践"
"S110010060","6","K007","146","業務別関連技術情報の把握と活用"
"S110010060","6","K008","147","業務別最適プラットフォーム選定"
"S110010060","6","K009","148","国際標準、業界標準"
"S110010060","6","K010","9562","国内外のIT市場規模と動向の把握"
"S110010060","6","K011","149","最新アプリケーションパッケージ動向の把握"
"S110010060","6","K012","150","最新インダストリアプリケーション動向の把握"
"S110010060","6","K013","9563","最新システム管理技術動向の把握"
"S110010060","6","K014","9564","最新セキュリティ技術動向の把握"
"S110010060","6","K015","9565","最新データベース技術動向の把握"
"S110010060","6","K016","9566","最新ネットワーク技術動向の把握"
"S110010060","6","K017","9567","最新ハードウェア技術動向の把握"
"S110010060","6","K018","151","最新ファシリティ、ネットワーク製品技術動向の把握と活用"
"S110010060","6","K019","9569","最新プラットフォーム技術動向の把握"
"S110010060","6","K020","9568","最新ミドルウェア技術動向の把握"
"S110010060","6","K021","152","最適プラットフォーム選定"
"S110010060","6","K022","9570","次世代のeビジネスとその発展の把握"
"S110010060","6","K023","153","先端技術"
"S110010060","6","K024","154","注目技術"
"S110010070","7","K001","155","ASP"
"S110010070","7","K002","156","IT業界の動向（事例）"
"S110010070","7","K003","157","SaaS"
"S110010070","7","K004","158","SOA"
"S110010070","7","K005","159","マクロ環境分析"
"S110010070","7","K006","160","仮説検証"
"S110010070","7","K007","161","競合分析"
"S110010070","7","K008","162","業務システム提案"
"S110010070","7","K009","163","業務パッケージ"
"S110010070","7","K010","164","顧客分析"
"S110010070","7","K011","165","市場の需要測定"
"S110010070","7","K012","166","市場の定義"
"S110010070","7","K013","167","市場機会の分析"
"S110010070","7","K014","168","市場全体の把握"
"S110010070","7","K015","169","市場調査の実施"
"S110010070","7","K016","170","市場調査の設計"
"S110010070","7","K017","171","市場調査計画の作成"
"S110010070","7","K018","172","市場調査目的の設定"
"S110010070","7","K019","173","市場動向及び他社動向の把握"
"S110010070","7","K020","174","市場分析"
"S110010070","7","K021","175","情報の収集"
"S110010070","7","K022","176","情報の分析"
"S110010070","7","K023","177","調査・分析手法"
"S110010070","7","K024","178","内部環境分析（自社の強みと弱みの分析）"
"S110020010","8","K001","179","オファリング内容の策定"
"S110020010","8","K002","180","ブランドエクイティ"
"S110020010","8","K003","181","ブランドロイヤリティ獲得"
"S110020010","8","K004","182","ブランド戦略"
"S110020010","8","K005","183","ブランド戦略との関係"
"S110020010","8","K006","184","ブランド戦略の決定（ライン拡張、ブランド拡張、マルチブランド、共同ブランド）"
"S110020010","8","K007","185","ブランド戦略開発プロセスと手法"
"S110020010","8","K008","186","ブランド体系（コーポレートブランド、事業ブランド、ファミリーブランド、製品またはサービスブランド等）"
"S110020010","8","K009","187","プロダクトに関する意思決定"
"S110020010","8","K010","188","プロダクトの市場リサーチ手法"
"S110020010","8","K011","189","プロダクトポジショニング"
"S110020010","8","K012","190","プロダクトライフサイクル"
"S110020010","8","K013","191","価格設定に影響する要因"
"S110020010","8","K014","192","価格設定手法（原価志向、需要志向、競争志向）"
"S110020010","8","K015","193","価格戦略"
"S110020010","8","K016","194","価格調整"
"S110020010","8","K017","195","広告戦略"
"S110020010","8","K018","196","市場細分化と標的市場の選定"
"S110020010","8","K019","197","新規プロダクトの開発"
"S110020010","8","K020","198","新製品の価格設定（上澄み吸収価格設定、市場浸透価格設定）"
"S110020010","8","K021","199","製品またはサービスラインとブランド"
"S110020010","8","K022","200","製品ミックス価格設定"
"S110020020","9","K001","201","AIDAモデル（Attention、Interest、Desire、Action）の理解と活用"
"S110020020","9","K002","202","Webマーケティング"
"S110020020","9","K003","203","イベントマーケティングの計画と実践"
"S110020020","9","K004","204","イベント等の企画"
"S110020020","9","K005","205","イメージ分析"
"S110020020","9","K006","206","キャンペーンマネジメントの活用、実践"
"S110020020","9","K007","207","クリエイティブ戦略"
"S110020020","9","K008","208","コミュニケーションミックスの決定と広告戦略"
"S110020020","9","K009","209","ターゲットの設定"
"S110020020","9","K010","210","ダイレクトマーケティング"
"S110020020","9","K011","211","パートナーとの遂行"
"S110020020","9","K012","212","プッシュ戦略とプル戦略"
"S110020020","9","K013","213","プロモーションの効果測定"
"S110020020","9","K014","214","プロモーションミックスの活用手法"
"S110020020","9","K015","215","プロモーション計画の策定"
"S110020020","9","K016","10264","マーケッティングミックス"
"S110020020","9","K017","216","マーケットコミュニケーションチャネルの選択"
"S110020020","9","K018","217","マーケットコミュニケーション手段の理解と活用"
"S110020020","9","K019","218","マーケットコミュニケーション戦略の策定"
"S110020020","9","K020","219","マーケットコミュニケーション評価"
"S110020020","9","K021","220","マーケットコミュニケーション目標の設定と予算の確定"
"S110020020","9","K022","221","メッセージの作成"
"S110020020","9","K023","222","メッセージプランニング"
"S110020020","9","K024","223","メディア戦略"
"S110020020","9","K025","224","メディア選択"
"S110020020","9","K026","225","ライフタイムバリュー（LTV）"
"S110020020","9","K027","226","改善案の検討と実施"
"S110020020","9","K028","227","競争優位な販売促進の実施"
"S110020020","9","K029","228","競争優位のプロモーション実施（ダイレクトマーケティングキャンペーンなどによる差別化）"
"S110020020","9","K030","229","購入者特性と購買心理"
"S110020020","9","K031","230","消費者行動モデル"
"S110020020","9","K032","231","戦略的な広告計画と実施"
"S110020020","9","K033","232","販売促進戦略"
"S110020020","9","K034","233","標準視聴者の明確化"
"S110020020","9","K035","234","評価の実施"
"S110020020","9","K036","235","評価基準と評価方法の決定"
"S110020020","9","K037","236","評価結果の分析"
"S110020020","9","K038","237","目標の決定"
"S110020020","9","K039","238","予算の決定"
"S110020030","10","K001","239","サービスにおける差別化の検討"
"S110020030","10","K002","240","サービスビジネスのマーケティング戦略策定手法"
"S110020030","10","K003","241","サービス品質の管理"
"S110020030","10","K004","242","セグメンテーション"
"S110020030","10","K005","243","ターゲティング"
"S110020030","10","K006","244","バリューチェーン分析手法"
"S110020030","10","K007","245","ビジネス戦略（経営戦略、事業戦略）の把握"
"S110020030","10","K008","246","ポジショニング"
"S110020030","10","K009","247","マーケットコミュニケーション戦略"
"S110020030","10","K010","248","マーケティングプログラムの評価"
"S110020030","10","K011","249","マーケティングプログラム計画策定と実施"
"S110020030","10","K012","250","マーケティングプログラム実践手法"
"S110020030","10","K013","251","マーケティングプロセス（ポジショニング）"
"S110020030","10","K014","252","マーケティングプロセス（マーケティング環境の分析、市場の機会と脅威の発見、市場細分化と標的市場の選定、ポジショニング、マーケティングミックス）の理解と実践"
"S110020030","10","K015","253","マーケティングプロセスの適用と実践手法"
"S110020030","10","K016","254","マーケティングマネジメントの実施"
"S110020030","10","K017","255","マーケティング環境分析と市場機会の発見"
"S110020030","10","K018","256","マーケティング計画（戦術、実施項目、マイルストーン等）策定と実行"
"S110020030","10","K019","257","マーケティング施策の策定"
"S110020030","10","K020","258","マーケティング施策の実行"
"S110020030","10","K021","259","マーケティング施策の把握"
"S110020030","10","K022","260","マーケティング実行計画の作成"
"S110020030","10","K023","261","マーケティング実行計画の策定"
"S110020030","10","K024","262","マーケティング手法"
"S110020030","10","K025","263","マーケティング戦略の策定と実践"
"S110020030","10","K026","264","マーケティング戦略の策定プロセスの理解"
"S110020030","10","K027","265","マーケティング戦略の把握"
"S110020030","10","K028","266","マーケティング理論"
"S110020030","10","K029","267","価格戦略"
"S110020030","10","K030","268","企業理念の把握"
"S110020030","10","K031","269","顧客のITサービス嗜好取引形態の把握"
"S110020030","10","K032","270","顧客の購買行動モデル"
"S110020030","10","K033","271","購買決定プロセス各段階の理解"
"S110020030","10","K034","272","購買決定者"
"S110020030","10","K035","273","購買行動に影響を与える要因の理解（文化的要因、社会的要因、個人的要因、心理的要因）"
"S110020030","10","K036","274","市場細分化（地理的変数、人口動態変数、心理的変数、行動上の変数等）"
"S110020030","10","K037","275","事業ポートフォリオの設計"
"S110020030","10","K038","276","実現性"
"S110020030","10","K039","277","消費者行動モデル"
"S110020030","10","K040","278","垂直統合サービス"
"S110020030","10","K041","279","製品ビジネスとサービスビジネスの相違点の理解"
"S110020030","10","K042","280","製品またはサービス戦略"
"S110020030","10","K043","281","戦術、実施項目、CSF（Critical Success Factor）、マイルストーン等の検討と反映"
"S110020030","10","K044","282","戦略的オプションの検討"
"S110020030","10","K045","284","販売チャネル戦略"
"S110020030","10","K046","285","標的市場の選定"
"S110020030","10","K047","286","評価基準の設定"
"S110020030","10","K048","287","優先度の検討"
"S110020040","11","K001","288","3C分析"
"S110020040","11","K002","294","5Forcesモデル"
"S110020040","11","K003","289","7Sモデル"
"S110020040","11","K004","290","SWOT分析"
"S110020040","11","K005","291","バリューチェーン分析"
"S110020040","11","K006","292","プロダクトポートフォリオマネジメント（PPM）モデル"
"S110020040","11","K007","293","マーケティング分析"
"S110020040","11","K008","295","経験カーブ"
"S110020040","11","K009","296","事業ライフサイクル（導入期、成長期、成熟期、衰退期）モデル"
"S110030010","12","K001","297","ポジショニング戦略の策定"
"S110030010","12","K002","298","マーケティングプロセスの応用（インダストリアル製品）"
"S110030010","12","K003","299","マーケティングプロセスの応用（コンシューマ製品）"
"S110030010","12","K004","300","外部環境分析"
"S110030010","12","K005","301","差別化の検討"
"S110030010","12","K006","302","事業のミッションの設定"
"S110030010","12","K007","303","事業目標設定"
"S110030010","12","K008","304","自社の強み分析"
"S110030010","12","K009","305","新製品または新サービスの開発"
"S110030010","12","K010","306","製品またはサービスのライフサイクル段階の分析"
"S110030010","12","K011","307","製品またはサービスラインとブランド"
"S110030010","12","K012","308","戦略と施策の策定プロセスの理解と実行"
"S110030010","12","K013","309","内部環境分析"
"S110030010","12","K014","310","評価と管理"
"S110030020","13","K001","311","「方法」のパターン"
"S110030020","13","K002","312","SOA"
"S110030020","13","K003","313","SWOT分析"
"S110030020","13","K004","314","アクセスベースのポジショニング"
"S110030020","13","K005","315","エグゼクティブ・サマリ"
"S110030020","13","K006","316","オプション空間ツール"
"S110030020","13","K007","317","サービス・ポートフォリオ"
"S110030020","13","K008","318","サービス・モデル"
"S110030020","13","K009","319","サービスデザイン"
"S110030020","13","K010","320","サービストランジション"
"S110030020","13","K011","321","サービスマネジメントシステム"
"S110030020","13","K012","322","シミュレーション"
"S110030020","13","K013","323","タイミングのパターン"
"S110030020","13","K014","324","ニーズベースのポジショニング"
"S110030020","13","K015","325","バリュー・ステートメント"
"S110030020","13","K016","326","ビジョン・ステートメント"
"S110030020","13","K017","327","フレームワーク（ISO/IEC 38500）"
"S110030020","13","K018","328","ベストエフォートによる管理"
"S110030020","13","K019","329","ミッション・ステートメント"
"S110030020","13","K020","330","モニタ（モニタリング、バランススコアカード、重要業績評価指標、リスク・アセスメント、コンプライアンスの監査、能力分析）"
"S110030020","13","K021","331","危機による管理"
"S110030020","13","K022","332","希望による管理"
"S110030020","13","K023","333","境界のパターン"
"S110030020","13","K024","334","顧客の要求による管理"
"S110030020","13","K025","335","種類ベースのポジショニング"
"S110030020","13","K026","336","需要ベースのポジショニング"
"S110030020","13","K027","337","状況分析"
"S110030020","13","K028","338","推定による管理"
"S110030020","13","K029","339","評価"
"S110030020","13","K030","340","分析モデル（デシジョン・ツリー、利得行列、階層分析法、線形計画法と整数計画法、目標計画法、待ち行列およびネットワーク・フロー・モデル、クラスタ分析、予測分析、時系列分析）"
"S110030020","13","K031","341","方向付け"
"S110030020","13","K032","342","優先度のパターン"
"S110030030","14","K001","343","SLM"
"S110030030","14","K002","344","サービス・カタログ"
"S110030030","14","K003","345","サービス・ポートフォリオ"
"S110030030","14","K004","346","サービス・ライフサイクル"
"S110030030","14","K005","347","サービス定義"
"S110030030","14","K006","348","データのオーナシップ"
"S110030040","15","K001","349","SOA"
"S110030040","15","K002","350","データセンタの自動化"
"S110030040","15","K003","351","リアルタイム・サービス"
"S110030040","15","K004","352","仮想化"
"S110030040","15","K005","353","環境要因のキャパシティ管理"
"S110030040","15","K006","354","機器の標準化"
"S110030040","15","K007","355","方針ベースの管理"
"S110040010","16","K001","356","B2Bマーケティングプロセスの理解と実行"
"S110040010","16","K002","357","B2Bマーケティング概念"
"S110040010","16","K003","358","B2Bマーケティング戦略と立案手法"
"S110040010","16","K004","359","企業購買プロセス"
"S110040010","16","K005","360","企業市場と消費者市場の違い"
"S110040010","16","K006","361","購買意思決定者への影響"
"S110040020","17","K001","362","CRMツールの活用と実践"
"S110040020","17","K002","363","カスタマデータベース活用と実践"
"S110040020","17","K003","364","セールス向けe-mailの活用と実践"
"S110040020","17","K004","365","セールス向け電話の活用と実践"
"S110040020","17","K005","366","ビジネス機会に対する戦略立案"
"S110040020","17","K006","367","ビジネス機会の発掘"
"S110040020","17","K007","368","ビジネス機会の明確化"
"S110040020","17","K008","369","ビジネス機会の優先順位づけ"
"S110040020","17","K009","370","実行計画策定"
"S110040030","18","K001","371","コンフリクトと競争のタイプの理解"
"S110040030","18","K002","372","サービス水準の分析"
"S110040030","18","K003","373","チャネルメンバーの教育、動機付け、評価"
"S110040030","18","K004","374","パートナータイプの特性に応じた契約書の作成"
"S110040030","18","K005","375","取引条件の設定（取引総額、価格、在庫、数量、割引、フィナンシャル条件等）"
"S110040030","18","K006","376","動機付け"
"S110040030","18","K007","377","排他的テリトリ"
"S110040030","18","K008","378","排他的取引"
"S110040030","18","K009","379","販売チャネルコンフリクトの管理"
"S110040030","18","K010","380","販売チャネルコンフリクトの原因把握"
"S110040030","18","K011","381","販売チャネルコンフリクトの把握と管理"
"S110040030","18","K012","382","販売チャネルとのアライアンス戦略策定"
"S110040030","18","K013","383","販売チャネルの選択と設計"
"S110040030","18","K014","384","販売チャネルの段階数の理解と最適解の検討"
"S110040030","18","K015","385","販売チャネルへの支援"
"S110040030","18","K016","386","販売チャネルメンバーの選択"
"S110040030","18","K017","387","販売チャネル機能とフローの理解と最適解の検討"
"S110040030","18","K018","388","販売チャネル候補の特定、評価"
"S110040030","18","K019","389","抱き合わせ購入契約"
"S110040030","18","K020","390","目的の設定"
"S110050010","19","K001","391","コーポレートガバナンス"
"S110050010","19","K002","392","デシジョンプロセスの把握"
"S110050010","19","K003","393","デシジョンメーカの評価確認"
"S110050010","19","K004","394","企業経営の歴史"
"S110050010","19","K005","395","業界環境、関連規制の把握"
"S110050010","19","K006","396","業界競合他社情報の把握"
"S110050010","19","K007","397","業界固有ニーズ/ウォンツの把握と活用"
"S110050010","19","K008","398","経営指標の分析と把握"
"S110050010","19","K009","399","個別業務内容の把握"
"S110050010","19","K010","400","顧客IT環境の把握と分析"
"S110050010","19","K011","401","顧客のITサービス嗜好取引形態の把握"
"S110050010","19","K012","402","顧客経営方針の把握"
"S110050010","19","K013","403","顧客事業内容の把握"
"S110050010","19","K014","404","顧客主要マーケットの把握"
"S110050010","19","K015","405","顧客満足度概念の理解"
"S110050010","19","K016","406","顧客満足度調査の実施"
"S110050010","19","K017","407","最新システム管理技術動向の把握"
"S110050010","19","K018","408","最新セキュリティ技術動向の把握"
"S110050010","19","K019","409","最新データベース技術動向の把握"
"S110050010","19","K020","410","最新ネットワーク技術動向の把握"
"S110050010","19","K021","411","最新ハードウェア技術動向の把握"
"S110050010","19","K022","412","最新プラットフォーム技術動向の把握"
"S110050010","19","K023","413","最新ミドルウェア技術動向の把握"
"S110050010","19","K024","414","最新業界動向の把握"
"S110050010","19","K025","415","財務諸表に関する知識の活用"
"S110050010","19","K026","416","財務状況の分析と把握"
"S110050010","19","K027","417","財務分析手法の理解と活用"
"S110050010","19","K028","418","組織構造の把握"
"S110050010","19","K029","419","組織戦略"
"S110050010","19","K030","420","調査結果の分析、評価"
"S110050010","19","K031","421","評価結果による満足度向上計画の策定と実践"
"S110050020","20","K001","422","SWOT分析"
"S110050020","20","K002","423","Unicode（国際符号化文字集合）、POSIX定義の国際化モデル、CDRA（Character Data Representation Architecture）などの標準やアーキテクチャー"
"S110050020","20","K003","424","ソフトウェア製品戦略の策定"
"S110050020","20","K004","425","マルチ言語対応"
"S110050020","20","K005","426","各国毎のガイドライン及び規制"
"S110050020","20","K006","427","各種システムのアクセシビリティ機能"
"S110050020","20","K007","428","顧客セグメント分析"
"S110050020","20","K008","429","自社の企業戦略の理解"
"S110050020","20","K009","430","地域、国毎の関連法規、規定、規格への対応"
"S110050020","20","K010","431","要求分析"
"S110050030","21","K001","432","技術ロードマップ"
"S110050030","21","K002","433","技術開発拠点計画"
"S110050030","21","K003","434","技術開発投資計画"
"S110050030","21","K004","435","人材計画"
"S110050030","21","K005","436","製品応用ロードマップ"
"S110050030","21","K006","437","特許取得ロードマップ"
"S110050040","22","K001","438","コア技術"
"S110050040","22","K002","439","技術獲得"
"S110050040","22","K003","440","技術供与"
"S110050040","22","K004","441","技術経営（MOT）"
"S110050040","22","K005","442","技術研究"
"S110050040","22","K006","443","技術提携"
"S110050040","22","K007","444","技術動向"
"S110050040","22","K008","445","業界動向の事例"
"S110050040","22","K009","446","産学官連携"
"S110050040","22","K010","447","成功事例"
"S110050040","22","K011","448","製品動向"
"S110050040","22","K012","449","発想法"
"S110050040","22","K013","450","標準化戦略"
"S110060010","23","K001","451","ANSI"
"S110060010","23","K002","453","CRUD分析"
"S110060010","23","K003","454","CSF（Critical Success Factor）"
"S110060010","23","K004","455","EA（エンタープライズアーキテクチャ）"
"S110060010","23","K005","456","ER図"
"S110060010","23","K006","457","IEC"
"S110060010","23","K007","458","IEEE"
"S110060010","23","K008","459","IETF"
"S110060010","23","K009","460","ISO"
"S110060010","23","K010","461","ITU"
"S110060010","23","K011","462","ITポートフォリオモデル"
"S110060010","23","K012","463","JSA"
"S110060010","23","K013","464","KGI（Key Goal Indicator）"
"S110060010","23","K014","465","KJ法"
"S110060010","23","K015","466","KPI（Key Performance Indicator）"
"S110060010","23","K016","467","MECE（ミーシー）"
"S110060010","23","K017","10265","TDWI BI 成熟度モデル"
"S110060010","23","K018","468","W3C"
"S110060010","23","K019","469","システムライフサイクル"
"S110060010","23","K020","470","システム化戦略の策定"
"S110060010","23","K021","471","データフローダイアグラム（DFD）"
"S110060010","23","K022","452","バランススコアカード"
"S110060010","23","K023","473","ビジネスプロセスモデリング"
"S110060010","23","K024","474","ビジネスプロセスリエンジニアリング（BPR）"
"S110060010","23","K025","475","ビジネスモデル"
"S110060010","23","K026","476","プレスリリース"
"S110060010","23","K027","477","プログラムマネジメント"
"S110060010","23","K028","478","ベンダーの新製品情報"
"S110060010","23","K029","479","モデリング"
"S110060010","23","K030","480","ユーザのビジョン、ゴール、ビジネス戦略の把握"
"S110060010","23","K031","481","リスク分析手法"
"S110060010","23","K032","482","業界団体"
"S110060010","23","K033","483","業務パッケージを利用したシステム化戦略策定"
"S110060010","23","K034","484","業務モデル"
"S110060010","23","K035","485","業務分析手法"
"S110060010","23","K036","486","経済産業省などの公的機関の調査報告（特許動向など）"
"S110060010","23","K037","487","情報システムモデル"
"S110060010","23","K038","488","情報資産の識別方法（情報・データ、システム、人材、文書）"
"S110060010","23","K039","489","情報資産の評価方法（機密性、完全性、可用性に関する重要度、致命度、危険度）"
"S110060010","23","K040","490","情報資産台帳の内容"
"S110060010","23","K041","491","先進事例"
"S110060010","23","K042","492","全体最適化"
"S110060010","23","K043","493","標準化団体が主催する会合等への参加"
"S110060010","23","K044","494","標準化団体の発行物"
"S110060020","24","K001","495","BIツールに関する知識、情報システムモデル"
"S110060020","24","K002","9575","CSF（Critical Success Factors）"
"S110060020","24","K003","10406","ITの有効活用（IoT、AIほか）"
"S110060020","24","K004","496","IT活用教育の事例"
"S110060020","24","K005","497","PDCAサイクル（定期的レビュー、評価のフィードバックとアクション）"
"S110060020","24","K006","498","システム廃棄"
"S110060020","24","K007","499","システム利用実態の評価・検証"
"S110060020","24","K008","500","チェンジマネジメント"
"S110060020","24","K009","502","データの戦略的活用事例"
"S110060020","24","K010","503","データ活用"
"S110060020","24","K011","501","デジタルディバイド"
"S110060020","24","K012","504","ナレッジマネジメント"
"S110060020","24","K013","505","バランススコアカード"
"S110060020","24","K014","506","ヒアリング手法"
"S110060020","24","K015","507","ビジネスプロセスリエンジニアリング（BPR）"
