"スキルカテゴリ","スキルカテゴリ識別子","スキル分類コード","スキル分類識別子","スキル分類","スキル項目コード","スキル項目識別子","スキル項目"
"メソドロジ","1","S120010","9","（企画）　システム企画立案手法","S120010050","36","調達計画・実施"
"メソドロジ","1","S120020","10","（企画）　セールス事務管理手法","S120020010","37","セールス交渉手法"
"メソドロジ","1","S120020","10","（企画）　セールス事務管理手法","S120020020","38","契約事務手法"
"メソドロジ","1","S120020","10","（企画）　セールス事務管理手法","S120020030","39","経理事務手法"
"メソドロジ","1","S120030","11","（企画）　要求分析手法","S120030010","40","要求の抽出手法"
"メソドロジ","1","S120030","11","（企画）　要求分析手法","S120030020","41","要求の整理手法"
"メソドロジ","1","S120030","11","（企画）　要求分析手法","S120030030","42","要求の仕様化手法"
"メソドロジ","1","S120030","11","（企画）　要求分析手法","S120030040","43","要求の評価手法"
"メソドロジ","1","S120030","11","（企画）　要求分析手法","S120030050","44","要件定義"
"メソドロジ","1","S120040","12","（企画）　非機能要件設計手法","S120040010","45","プラットフォーム要件定義手法"
"メソドロジ","1","S120040","12","（企画）　非機能要件設計手法","S120040020","46","システム基盤の非機能要件設計"
"メソドロジ","1","S130010","13","（実装）　アーキテクチャ設計手法","S130010010","47","アーキテクチャ設計手法"
"メソドロジ","1","S130010","13","（実装）　アーキテクチャ設計手法","S130010020","48","アプリケーションアーキテクチャ設計手法"
"メソドロジ","1","S130010","13","（実装）　アーキテクチャ設計手法","S130010030","49","インダストリパッケージ設計・開発手法"
"メソドロジ","1","S130010","13","（実装）　アーキテクチャ設計手法","S130010040","50","インフラストラクチャアーキテクチャ設計手法"
"メソドロジ","1","S130010","13","（実装）　アーキテクチャ設計手法","S130010050","51","データアーキテクチャ設計手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020010","52","セキュリティ実装手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020020","53","ソフトウェアデザイン手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020030","54","ソフトウェアのモデリング手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020040","55","ソフトウェア開発手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020050","56","ソフトウェア製作手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020060","57","ソフトウェア設計の表記手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020070","58","開発プロセス設定手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020080","59","開発環境設計手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020090","60","ソフトウェア設計手法"
"メソドロジ","1","S130020","14","（実装）　ソフトウェアエンジニアリング手法","S130020100","61","保守サービス提供手法"
"メソドロジ","1","S130050","15","（実装）　カスタマーサービス手法","S130050010","62","ハードウェア導入手法"
"メソドロジ","1","S130050","15","（実装）　カスタマーサービス手法","S130050020","63","ソフトウェア導入・配信手法"
"メソドロジ","1","S130050","15","（実装）　カスタマーサービス手法","S130050030","64","予防保守手法"
"メソドロジ","1","S130060","16","（実装）　業務パッケージ活用手法","S130060010","65","業務パッケージ適用手法"
"メソドロジ","1","S130060","16","（実装）　業務パッケージ活用手法","S130060020","66","業務パッケージ導入手法"
"メソドロジ","1","S130080","17","（実装）　データマイニング手法","S130080010","67","データ分析手法"
"メソドロジ","1","S130080","17","（実装）　データマイニング手法","S130080020","68","マイニングモデル手法"
"メソドロジ","1","S130080","17","（実装）　データマイニング手法","S130080030","69","テキストマイニング手法"
"メソドロジ","1","S130090","18","（実装）　見積り手法","S130090010","70","規模の見積手法"
"メソドロジ","1","S130090","18","（実装）　見積り手法","S130090020","71","コストの見積り手法"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100010","72","プロジェクトマネジメント"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100020","73","プロジェクトの統合"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100030","74","プロジェクトのコスト"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100040","75","プロジェクトのコミュニケーション"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100050","76","プロジェクトのスコープ"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100060","77","プロジェクトのステークホルダ"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100070","78","プロジェクトの時間"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100080","79","プロジェクトのリスク"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100090","80","プロジェクトの資源"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100100","81","プロジェクトの調達"
"メソドロジ","1","S130100","19","（実装）　プロジェクトマネジメント手法","S130100110","82","プロジェクトの品質"
"メソドロジ","1","S140010","20","（利活用）　サービスマネジメント","S140010010","492","サービスマネジメントシステムの計画"
"メソドロジ","1","S140010","20","（利活用）　サービスマネジメント","S140010020","493","サービスマネジメントシステムの支援"
"メソドロジ","1","S140010","20","（利活用）　サービスマネジメント","S140010030","494","改善"
"メソドロジ","1","S140010","20","（利活用）　サービスマネジメント","S140010040","495","パフォーマンス評価"
"メソドロジ","1","S140020","21","（利活用）　サービスの設計・移行","S140020010","496","サービスの設計及び移行"
"メソドロジ","1","S140020","21","（利活用）　サービスの設計・移行","S140020020","497","変更管理"
"メソドロジ","1","S140020","21","（利活用）　サービスの設計・移行","S140020030","498","リリース及び展開管理"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030010","499","運用の計画及び管理"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030020","500","サービスポートフォリオ"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030030","92","関係及び合意"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030040","501","供給及び需要"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030050","90","解決及び実現"
"メソドロジ","1","S140030","22","（利活用）　サービスマネジメントプロセス","S140030060","502","サービス保証"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040010","93","サービスの運用手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040020","94","システム運用管理手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040030","95","ナレッジ管理手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040040","96","運用オペレーション手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040050","97","運用支援ツール手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040060","98","サービスデスク運用手法"
"メソドロジ","1","S140040","23","（利活用）　サービスの運用","S140040070","99","スタッフィング手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010010","100","テスト技術・手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010020","424","テストのマネジメント手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010030","101","品質レビュー手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010040","102","検査のマネジメント手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010050","103","品質マネジメント手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010060","425","品質に関する基礎"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010070","426","セキュリティ品質に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010080","427","ユーザビリティ品質に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010090","428","セーフティ品質に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010100","429","法的権利・法的責任のマネジメント手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010110","430","品質要求分析手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010120","104","品質マネジメントシステム構築手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010130","105","品質改善に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010140","106","品質管理に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010150","107","品質計画に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010160","108","品質保証に関する手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010170","109","品質測定・評価手法"
"メソドロジ","1","S150010","24","（支援活動）　品質マネジメント手法","S150010180","110","品質分析・評価手法"
"メソドロジ","1","S150030","25","（支援活動）　リスクマネジメント手法","S150030010","111","リスク管理手法"
"メソドロジ","1","S150030","25","（支援活動）　リスクマネジメント手法","S150030020","112","情報セキュリティ管理手法"
"メソドロジ","1","S150040","26","（支援活動）　ITガバナンス","S150040010","113","ITガバナンス手法"
"メソドロジ","1","S150040","26","（支援活動）　ITガバナンス","S150040020","114","内部統制"
"メソドロジ","1","S150060","27","（支援活動）　資産管理手法","S150060010","115","資産管理に関する手法"
"メソドロジ","1","S150060","27","（支援活動）　資産管理手法","S150060020","116","知的資産の管理活用手法"
"メソドロジ","1","S150070","28","（支援活動）　ファシリティマネジメント手法","S150070010","117","ファシリティマネジメント"
"メソドロジ","1","S150080","29","（支援活動）　事業継続計画","S150080010","118","BCP策定手法"
"メソドロジ","1","S150080","29","（支援活動）　事業継続計画","S150080020","119","災害対策管理手法"
"メソドロジ","1","S150090","30","（支援活動）　システム監査手法","S150090010","120","システム監査"
"メソドロジ","1","S150100","31","（支援活動）　標準化・再利用手法","S150100010","121","ソフトウェア開発プロセスの標準化手法"
"メソドロジ","1","S150100","31","（支援活動）　標準化・再利用手法","S150100020","122","ソフトウェアエンジニアリングの標準化手法"
"メソドロジ","1","S150110","32","（支援活動）　人材育成・教育・研修","S150110010","123","人材育成管理手法"
"メソドロジ","1","S150110","32","（支援活動）　人材育成・教育・研修","S150110020","124","教育手法"
"メソドロジ","1","S150110","32","（支援活動）　人材育成・教育・研修","S150110030","125","教育マテリアル設計・作成手法"
"メソドロジ","1","S150110","32","（支援活動）　人材育成・教育・研修","S150110040","126","研修のための最新機器とツール"
"メソドロジ","1","S150110","32","（支援活動）　人材育成・教育・研修","S150110050","127","研修関連IT知識"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120010","431","情報セキュリティ監査契約手法"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120020","432","情報セキュリティ監査実施計画策定手法"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120030","433","情報セキュリティ監査実施手法"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120040","434","情報セキュリティ監査意見形成手法"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120050","435","リスク分析手法"
"メソドロジ","1","S150120","80","（支援活動）　情報セキュリティ","S150120060","436","情報セキュリティポリシー策定手法"
"メソドロジ","1","S150130","81","（支援活動）　チェンジマネジメント手法","S150130010","454","協働の管理手法"
"メソドロジ","1","S150130","81","（支援活動）　チェンジマネジメント手法","S150130020","455","ビジネスソリューション変更管理手法"
"メソドロジ","1","S150130","81","（支援活動）　チェンジマネジメント手法","S150130030","456","ソリューション価値測定手法"
"メソドロジ","1","S150130","81","（支援活動）　チェンジマネジメント手法","S150130040","457","ソリューション評価手法"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010010","128","ソフトウェア工学"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010020","129","ソフトウェアの標準化"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010030","130","ソフトウェアエンジニアリングツール・開発技術"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010040","131","ソフトウェア構築の基礎知識"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010050","132","ソフトウェア設計の基礎知識"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010060","133","プログラミング基礎技術"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010070","134","プログラミング"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010080","135","プログラム言語"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010090","136","その他の言語"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010100","137","オープンソースソフトウェア"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010110","437","テスティング"
"テクノロジ","2","S210010","33","（システム）　ソフトウェアの基礎技術","S210010120","438","ソフトウェア品質"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020010","138","システム開発の概念と方法論"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020020","139","システム開発のアプローチ"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020030","140","ソフトウェア要件定義"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020040","141","ソフトウェア方式設計・ソフトウェア詳細設計"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020050","142","アプリケーション方式設計手法"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020060","143","アプリケーション設計"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020070","144","リアルタイムシステム設計"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020080","145","ソフトウェア開発のフォールトトレランス"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020090","146","ソフトウェア実装・構築"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020100","147","ソフトウェア結合・ソフトウェア適格性確認テスト"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020110","148","導入・受入れ支援（ソフトウェアの構築技術）"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020120","149","開発ツール"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020130","439","再利用のための構築"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020140","440","構築品質"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020150","441","テスティングツール"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020160","442","セキュアプログラミング技法"
"テクノロジ","2","S210020","34","（システム）　ソフトウェアの構築技術","S210020170","443","セキュアプログラミング技法（データベース）"
"テクノロジ","2","S210030","35","（システム）　ソフトウェアの利用技術","S210030010","150","アプリケーション計画"
"テクノロジ","2","S210030","35","（システム）　ソフトウェアの利用技術","S210030020","151","既存ソフトウェアの把握技法"
"テクノロジ","2","S210030","35","（システム）　ソフトウェアの利用技術","S210030030","152","ソフトウェアの進化や保守"
"テクノロジ","2","S210030","35","（システム）　ソフトウェアの利用技術","S210030040","153","業務パッケージ最新動向"
"テクノロジ","2","S210030","35","（システム）　ソフトウェアの利用技術","S210030050","154","インテリジェントシステム"
"テクノロジ","2","S210040","36","（システム）　Webシステムの基礎技術","S210040010","155","Webシステムとその技術"
"テクノロジ","2","S210040","36","（システム）　Webシステムの基礎技術","S210040020","156","サーバ技術"
"テクノロジ","2","S210040","36","（システム）　Webシステムの基礎技術","S210040030","157","インターネットアプリケーション基盤技術"
"テクノロジ","2","S210040","36","（システム）　Webシステムの基礎技術","S210040040","158","アプリケーションサービス"
"テクノロジ","2","S210040","36","（システム）　Webシステムの基礎技術","S210040050","159","アプリケーション実行方式"
"テクノロジ","2","S210050","37","（システム）　Webシステムの構築技術","S210050010","160","Webアプリケーション技術"
"テクノロジ","2","S210050","37","（システム）　Webシステムの構築技術","S210050020","161","分散コンピューティング開発環境"
"テクノロジ","2","S210060","38","（システム）　Webシステムの利用技術","S210060010","162","e-ビジネス"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070010","163","データベース"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070020","164","リレーショナルモデル"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070030","165","データベース方式"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070040","166","データ操作"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070050","167","トランザクション処理"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070060","168","SQL"
"テクノロジ","2","S210070","39","（システム）　データベースの基礎技術","S210070070","169","情報管理"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080010","170","データベースの要件定義"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080020","482","データアーキテクチャ設計"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080030","171","データベース設計"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080040","172","データベースマネジメントシステム（DBMS）の選定・導入"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080050","173","データベースシステムの受け入れ"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080060","174","データベースマネジメントシステム（DBMS）への実装とテスト"
"テクノロジ","2","S210080","40","（システム）　データベースの構築技術","S210080070","175","データベース開発における重要技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090010","176","データのオペレーション管理技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090020","177","データのセキュリティ管理技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090030","178","データベースシステム管理"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090040","179","データベース運用技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090050","180","データベース運用設計"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090060","181","データアクセスサービス設計技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090070","182","データクオリティ管理技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090080","183","データと情報の管理"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090090","184","データベース応用"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090100","483","DW/BI技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090110","185","データベース関連製品の利用技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090120","186","データベースの周辺技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090130","187","データベース診断技術とチューニング技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090140","188","データ移行"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090150","189","データ移行設計"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090160","190","データ統合サービス設計技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090170","191","マスタデータ管理技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090180","192","ドキュメントとコンテンツ管理技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090190","193","情報製品の設計技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090200","194","データ照会・加工・クレンジング技術"
"テクノロジ","2","S210090","41","（システム）　データベースの利用技術","S210090210","195","データマイニングツールの利用技術"
"テクノロジ","2","S210100","42","（システム）　プラットフォームの基礎技術","S210100010","196","オペレーティングシステム"
"テクノロジ","2","S210100","42","（システム）　プラットフォームの基礎技術","S210100020","197","ミドルウェア"
"テクノロジ","2","S210100","42","（システム）　プラットフォームの基礎技術","S210100030","198","プラットフォーム技術"
"テクノロジ","2","S210110","43","（システム）　プラットフォームの構築技術","S210110010","199","ITアーキテクチャ（ソフトウェア）"
"テクノロジ","2","S210110","43","（システム）　プラットフォームの構築技術","S210110020","200","プラットフォーム実装技術"
"テクノロジ","2","S210110","43","（システム）　プラットフォームの構築技術","S210110030","201","共通基盤としてのプラットフォーム設計構築"
"テクノロジ","2","S210120","44","（システム）　プラットフォームの利用技術","S210120010","202","システムプラットフォームの受け入れ"
"テクノロジ","2","S210120","44","（システム）　プラットフォームの利用技術","S210120020","203","システム診断技術と障害対策技術"
"テクノロジ","2","S210120","44","（システム）　プラットフォームの利用技術","S210120030","204","プラットフォームシステム管理"
"テクノロジ","2","S210120","44","（システム）　プラットフォームの利用技術","S210120040","205","製品知識（プラットフォーム）"
"テクノロジ","2","S210130","45","（システム）　ハードウェアの基礎技術","S210130010","206","ハードウェア"
"テクノロジ","2","S210130","45","（システム）　ハードウェアの基礎技術","S210130020","207","製品知識基礎"
"テクノロジ","2","S210140","46","（システム）　ハードウェアの構築技術","S210140010","208","ITアーキテクチャ（ハードウェア）"
"テクノロジ","2","S210140","46","（システム）　ハードウェアの構築技術","S210140020","209","VLSIの設計および製造"
"テクノロジ","2","S210150","47","（システム）　ハードウェアの利用技術","S210150010","210","サーバ配置手法"
"テクノロジ","2","S210150","47","（システム）　ハードウェアの利用技術","S210150020","211","ストレージ技術"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160010","212","ネットワーク"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160020","213","ネットワークコンピューティング"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160030","214","ネットワークシステムの技術動向"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160040","215","ネットワーク標準"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160050","216","ネットワーク方式"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160060","217","通信プロトコル"
"テクノロジ","2","S210160","48","（システム）　ネットワークの基礎技術","S210160070","218","データ通信と制御"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170010","219","ネットワークシステムの要件定義"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170020","220","ネットワーク設計"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170030","221","ネットワークシステムの実装技術"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170040","222","ネットワークシステムの導入と移行"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170050","223","ネットワークシステムの受け入れ"
"テクノロジ","2","S210170","49","（システム）　ネットワークの構築技術","S210170060","224","ネットワークシステムの運用・保守・管理"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180010","225","ネットワーク管理"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180020","226","ネットワーク応用"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180030","227","ネットワーク製品知識"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180040","228","業界固有のセキュリティ要件、事例"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180050","229","ネットワークシステムの評価"
"テクノロジ","2","S210180","50","（システム）　ネットワークの利用技術","S210180060","230","テレコミュニケーション"
"テクノロジ","2","S210190","82","（システム）　クラウドコンピューティングの基礎技術","S210190010","446","クラウドコンピューティング基礎"
"テクノロジ","2","S210200","83","（システム）　クラウドコンピューティングの構築技術","S210200010","447","クラウドデータベース技術"
"テクノロジ","2","S210200","83","（システム）　クラウドコンピューティングの構築技術","S210200020","448","クラウド構築技術"
"テクノロジ","2","S210200","83","（システム）　クラウドコンピューティングの構築技術","S210200030","449","クラウドアプリケーション実装技術"
"テクノロジ","2","S210200","83","（システム）　クラウドコンピューティングの構築技術","S210200040","450","仮想マシンゲストのセキュリティ"
"テクノロジ","2","S210210","84","（システム）　クラウドコンピューティングの利用技術","S210210010","451","インタークラウド技術"
"テクノロジ","2","S210210","84","（システム）　クラウドコンピューティングの利用技術","S210210020","452","クラウドコンピューティング利用"
